,Club,league,Expenditure,Arrivals,Income,Departures,Balance,season,league_id
759,Moreirense FC,Liga Portugal,0.0,27,700000.0,25,700000.0,2014/2015,17642
760,CD Nacional,Liga Portugal,0.0,25,4990000.0,27,4990000.0,2014/2015,17642
761,Vitória Setúbal FC,Liga Portugal,0.0,29,1000000.0,30,1000000.0,2014/2015,17642
762,Estoril Praia,Liga Portugal,0.0,27,6530000.0,25,6530000.0,2014/2015,17642
763,Gil Vicente FC,Liga Portugal,0.0,24,0.0,28,0.0,2014/2015,17642
764,Boavista FC,Liga Portugal,0.0,29,0.0,25,0.0,2014/2015,17642
765,Académica Coimbra,Liga Portugal,0.0,22,0.0,16,0.0,2014/2015,17642
766,FC Paços de Ferreira,Liga Portugal,0.0,28,0.0,28,0.0,2014/2015,17642
767,FC Penafiel,Liga Portugal,0.0,20,0.0,20,0.0,2014/2015,17642
768,FC Arouca,Liga Portugal,0.0,13,0.0,13,0.0,2014/2015,17642
769,CF Os Belenenses,Liga Portugal,0.0,35,400000.0,36,400000.0,2014/2015,17642
788,SL Benfica,Liga Portugal,55750000.0,29,45700000.0,31,-10050000.0,2013/2014,17642
789,FC Porto,Liga Portugal,34820000.0,20,81420000.0,18,46600000.0,2013/2014,17642
790,SC Braga,Liga Portugal,4900000.0,30,7660000.0,34,2760000.0,2013/2014,17642
791,Sporting CP,Liga Portugal,3760000.0,24,35660000.0,24,31910000.0,2013/2014,17642
792,CD Nacional,Liga Portugal,1400000.0,21,0.0,20,-1400000.0,2013/2014,17642
793,CF Os Belenenses,Liga Portugal,1000000.0,29,0.0,29,-1000000.0,2013/2014,17642
794,Vitória Guimarães SC,Liga Portugal,500000.0,17,4750000.0,14,4250000.0,2013/2014,17642
795,Estoril Praia,Liga Portugal,380000.0,21,3900000.0,21,3520000.0,2013/2014,17642
796,Académica Coimbra,Liga Portugal,185000.0,21,1750000.0,25,1570000.0,2013/2014,17642
797,CS Marítimo,Liga Portugal,150000.0,13,4000000.0,19,3850000.0,2013/2014,17642
798,FC Paços de Ferreira,Liga Portugal,125000.0,35,2750000.0,32,2630000.0,2013/2014,17642
799,Rio Ave FC,Liga Portugal,70000.0,38,1000000.0,34,930000.0,2013/2014,17642
800,Vitória Setúbal FC,Liga Portugal,50000.0,28,2049999.9999999998,25,2000000.0,2013/2014,17642
801,Gil Vicente FC,Liga Portugal,0.0,29,150000.0,32,150000.0,2013/2014,17642
802,SC Olhanense,Liga Portugal,0.0,28,0.0,29,0.0,2013/2014,17642
803,FC Arouca,Liga Portugal,0.0,19,0.0,20,0.0,2013/2014,17642
804,SL Benfica,Liga Portugal,29000000.0,39,75730000.0,39,46730000.0,2012/2013,17642
805,FC Porto,Liga Portugal,13070000.0,25,73840000.0,26,60770000.0,2012/2013,17642
806,Sporting CP,Liga Portugal,10650000.0,32,15240000.0,37,4590000.0,2012/2013,17642
807,Rio Ave FC,Liga Portugal,3100000.0,32,1200000.0,33,-1900000.0,2012/2013,17642
808,SC Braga,Liga Portugal,850000.0,30,8500000.0,31,7650000.0,2012/2013,17642
809,Moreirense FC,Liga Portugal,185000.0,20,0.0,21,-185000.0,2012/2013,17642
810,CD Nacional,Liga Portugal,40000.0,22,4270000.0,23,4230000.0,2012/2013,17642
811,Vitória Setúbal FC,Liga Portugal,0.0,23,0.0,22,0.0,2012/2013,17642
812,CS Marítimo,Liga Portugal,0.0,15,1600000.0,9,1600000.0,2012/2013,17642
813,SC Beira-Mar,Liga Portugal,0.0,23,1250000.0,22,1250000.0,2012/2013,17642
814,Estoril Praia,Liga Portugal,0.0,19,0.0,21,0.0,2012/2013,17642
815,Vitória Guimarães SC,Liga Portugal,0.0,22,300000.0,24,300000.0,2012/2013,17642
816,Gil Vicente FC,Liga Portugal,0.0,30,0.0,27,0.0,2012/2013,17642
817,Académica Coimbra,Liga Portugal,0.0,24,0.0,26,0.0,2012/2013,17642
818,FC Paços de Ferreira,Liga Portugal,0.0,24,2000000.0,22,2000000.0,2012/2013,17642
819,SC Olhanense,Liga Portugal,0.0,21,2200000.0,23,2200000.0,2012/2013,17642
820,SL Benfica,Liga Portugal,39130000.0,47,86080000.0,46,46960000.0,2010/2011,17642
821,FC Porto,Liga Portugal,31750000.0,44,38780000.0,45,7030000.0,2010/2011,17642
822,Sporting CP,Liga Portugal,12800000.0,33,22300000.0,31,9500000.0,2010/2011,17642
823,CD Nacional,Liga Portugal,1400000.0,22,0.0,21,-1400000.0,2010/2011,17642
824,Vitória Guimarães SC,Liga Portugal,1050000.0,39,10600000.0,36,9550000.0,2010/2011,17642
825,SC Braga,Liga Portugal,825000.0,47,8500000.0,48,7680000.0,2010/2011,17642
826,SC Olhanense,Liga Portugal,250000.0,31,200000.0,31,-50000.0,2010/2011,17642
827,FC Paços de Ferreira,Liga Portugal,65000.0,23,0.0,22,-65000.0,2010/2011,17642
828,Vitória Setúbal FC,Liga Portugal,0.0,31,0.0,30,0.0,2010/2011,17642
829,CS Marítimo,Liga Portugal,0.0,26,100000.0,27,100000.0,2010/2011,17642
830,SC Beira-Mar,Liga Portugal,0.0,22,0.0,23,0.0,2010/2011,17642
831,Rio Ave FC,Liga Portugal,0.0,22,2300000.0,22,2300000.0,2010/2011,17642
832,União de Leiria,Liga Portugal,0.0,28,2900000.0,27,2900000.0,2010/2011,17642
833,Académica Coimbra,Liga Portugal,0.0,27,400000.0,27,400000.0,2010/2011,17642
834,Naval 1º de Maio,Liga Portugal,0.0,18,1500000.0,19,1500000.0,2010/2011,17642
835,Portimonense SC,Liga Portugal,0.0,28,0.0,28,0.0,2010/2011,17642
836,FC Porto,Liga Portugal,49190000.0,37,46800000.0,38,-2390000.0,2011/2012,17642
837,Sporting CP,Liga Portugal,34000000.0,38,6630000.0,38,-27370000.0,2011/2012,17642
838,SL Benfica,Liga Portugal,30960000.0,51,41190000.0,52,10230000.0,2011/2012,17642
839,SC Braga,Liga Portugal,5290000.0,45,24240000.0,42,18950000.0,2011/2012,17642
840,Vitória Guimarães SC,Liga Portugal,1200000.0,31,1080000.0,36,-120000.0,2011/2012,17642
841,CD Nacional,Liga Portugal,750000.0,21,2600000.0,23,1850000.0,2011/2012,17642
842,FC Paços de Ferreira,Liga Portugal,200000.0,35,750000.0,39,550000.0,2011/2012,17642
843,SC Olhanense,Liga Portugal,100000.0,24,0.0,22,-100000.0,2011/2012,17642
844,Vitória Setúbal FC,Liga Portugal,0.0,22,380000.0,25,380000.0,2011/2012,17642
845,CS Marítimo,Liga Portugal,0.0,20,4000000.0,22,4000000.0,2011/2012,17642
846,SC Beira-Mar,Liga Portugal,0.0,33,1650000.0,31,1650000.0,2011/2012,17642
847,Gil Vicente FC,Liga Portugal,0.0,19,1200000.0,18,1200000.0,2011/2012,17642
848,Rio Ave FC,Liga Portugal,0.0,20,2500000.0,22,2500000.0,2011/2012,17642
849,União de Leiria,Liga Portugal,0.0,33,800000.0,31,800000.0,2011/2012,17642
850,Académica Coimbra,Liga Portugal,0.0,32,1950000.0,30,1950000.0,2011/2012,17642
851,CD Feirense,Liga Portugal,0.0,21,125000.0,19,125000.0,2011/2012,17642
852,Inter Milan,Serie A,75100000.0,34,10180000.0,32,-64920000.0,2008/2009,10257
853,AC Milan,Serie A,73880000.0,35,47950000.0,35,-25930000.0,2008/2009,10257
854,US Palermo,Serie A,57300000.0,31,63950000.0,29,6650000.0,2008/2009,10257
855,Genoa CFC,Serie A,55910000.0,39,40350000.0,42,-15560000.0,2008/2009,10257
856,ACF Fiorentina,Serie A,49200000.0,22,18320000.0,24,-30880000.0,2008/2009,10257
857,Juventus FC,Serie A,40500000.0,35,31800000.0,36,-8700000.0,2008/2009,10257
858,UC Sampdoria,Serie A,38240000.0,35,10800000.0,38,-27440000.0,2008/2009,10257
859,AS Roma,Serie A,32549999.999999996,38,18000000.0,34,-14550000.0,2008/2009,10257
860,SSC Napoli,Serie A,30800000.0,18,10650000.0,19,-20150000.0,2008/2009,10257
861,SS Lazio,Serie A,24550000.0,24,12700000.0,25,-11850000.0,2008/2009,10257
862,Bologna FC 1909,Serie A,24400000.0,20,6400000.0,16,-18000000.0,2008/2009,10257
863,Torino FC,Serie A,22200000.0,18,11400000.0,19,-10800000.0,2008/2009,10257
864,Udinese Calcio,Serie A,20100000.0,49,35500000.0,52,15400000.0,2008/2009,10257
865,Cagliari Calcio,Serie A,19010000.0,17,6150000.0,22,-12860000.0,2008/2009,10257
866,AC Siena,Serie A,16399999.999999998,36,9350000.0,35,-7050000.0,2008/2009,10257
867,Atalanta BC,Serie A,16050000.0,30,16700000.0,30,650000.0,2008/2009,10257
868,US Lecce,Serie A,9100000.0,25,2450000.0,28,-6650000.0,2008/2009,10257
869,Reggina Calcio,Serie A,7350000.0,33,10180000.0,33,2830000.0,2008/2009,10257
870,Calcio Catania,Serie A,5500000.0,23,12300000.0,22,6800000.0,2008/2009,10257
871,Chievo Verona,Serie A,3500000.0,32,1600000.0,28,-1900000.0,2008/2009,10257
872,Inter Milan,Serie A,97200000.0,40,109100000.0,43,11900000.0,2009/2010,10257
873,Genoa CFC,Serie A,78990000.0,61,69750000.0,54,-9240000.0,2009/2010,10257
874,Juventus FC,Serie A,59300000.0,29,14300000.0,28,-45000000.0,2009/2010,10257
875,SSC Napoli,Serie A,55150000.0,17,4750000.0,22,-50400000.0,2009/2010,10257
876,ACF Fiorentina,Serie A,38450000.0,31,45000000.0,30,6550000.0,2009/2010,10257
877,SS Lazio,Serie A,31200000.0,31,13200000.0,25,-18000000.0,2009/2010,10257
878,Parma FC,Serie A,27470000.0,42,30980000.0,42,3500000.0,2009/2010,10257
879,AC Milan,Serie A,22100000.0,22,80660000.0,23,58560000.0,2009/2010,10257
880,Calcio Catania,Serie A,21500000.0,37,1150000.0,32,-20350000.0,2009/2010,10257
881,AS Bari,Serie A,19140000.0,45,1790000.0,40,-17340000.0,2009/2010,10257
882,Udinese Calcio,Serie A,18330000.0,55,36400000.0,51,18070000.0,2009/2010,10257
883,AC Siena,Serie A,17400000.0,43,27200000.0,44,9800000.0,2009/2010,10257
884,US Palermo,Serie A,17300000.0,35,12790000.0,32,-4510000.0,2009/2010,10257
885,Cagliari Calcio,Serie A,12750000.0,16,1050000.0,14,-11700000.0,2009/2010,10257
886,Atalanta BC,Serie A,11500000.0,33,22220000.0,32,10720000.0,2009/2010,10257
887,Bologna FC 1909,Serie A,10490000.0,24,6200000.0,24,-4290000.0,2009/2010,10257
888,UC Sampdoria,Serie A,8960000.0,40,19600000.0,39,10640000.0,2009/2010,10257
889,AS Roma,Serie A,3500000.0,28,22080000.0,32,18580000.0,2009/2010,10257
890,AS Livorno,Serie A,2870000.0,27,7700000.0,22,4830000.0,2009/2010,10257
891,Chievo Verona,Serie A,2300000.0,36,4400000.0,38,2100000.0,2009/2010,10257
892,Juventus FC,Serie A,153500000.0,82,81280000.0,83,-72220000.0,2015/2016,10257
893,Inter Milan,Serie A,102450000.0,60,115320000.0,72,12870000.0,2015/2016,10257
894,AC Milan,Serie A,102280000.0,51,11160000.0,57,-91120000.0,2015/2016,10257
895,AS Roma,Serie A,60850000.0,61,102250000.0,61,41400000.0,2015/2016,10257
896,SSC Napoli,Serie A,42700000.0,34,18290000.0,36,-24410000.0,2015/2016,10257
897,UC Sampdoria,Serie A,34670000.0,59,16820000.0,59,-17850000.0,2015/2016,10257
898,SS Lazio,Serie A,31250000.0,35,2370000.0,37,-28880000.0,2015/2016,10257
899,US Sassuolo,Serie A,30700000.0,21,25000000.0,28,-5700000.0,2015/2016,10257
900,Torino FC,Serie A,28050000.0,42,19750000.0,43,-8300000.000000001,2015/2016,10257
901,Atalanta BC,Serie A,26680000.0,74,37950000.0,73,11270000.0,2015/2016,10257
902,Bologna FC 1909,Serie A,26630000.0,45,800000.0,45,-25830000.0,2015/2016,10257
903,ACF Fiorentina,Serie A,24400000.0,43,26850000.0,52,2450000.0,2015/2016,10257
904,Udinese Calcio,Serie A,21420000.0,62,74120000.0,62,52700000.0,2015/2016,10257
905,Genoa CFC,Serie A,16700000.0,51,43150000.0,50,26450000.0,2015/2016,10257
906,US Palermo,Serie A,12250000.0,41,52900000.0,41,40650000.0,2015/2016,10257
907,FC Empoli,Serie A,6350000.0,33,11500000.0,33,5150000.0,2015/2016,10257
908,Hellas Verona,Serie A,6300000.0,49,2049999.9999999998,54,-4250000.0,2015/2016,10257
909,Chievo Verona,Serie A,6130000.0,71,15400000.0,71,9270000.0,2015/2016,10257
910,Frosinone Calcio,Serie A,400000.0,22,200000.0,23,-200000.0,2015/2016,10257
911,Carpi FC 1909,Serie A,300000.0,41,275000.0,40,-25000.0,2015/2016,10257
912,AS Roma,Serie A,101410000.0,47,41600000.0,44,-59810000.0,2014/2015,10257
913,Juventus FC,Serie A,55100000.0,62,25910000.0,61,-29190000.0,2014/2015,10257
914,SSC Napoli,Serie A,34800000.0,40,20450000.0,39,-14350000.0,2014/2015,10257
915,Udinese Calcio,Serie A,29200000.0,54,25400000.0,59,-3800000.0,2014/2015,10257
916,UC Sampdoria,Serie A,24350000.0,57,26520000.0,52,2170000.0,2014/2015,10257
917,Torino FC,Serie A,23200000.0,38,33860000.0,40,10660000.0,2014/2015,10257
918,Cagliari Calcio,Serie A,22600000.0,29,21930000.0,28,-675000.0,2014/2015,10257
919,Hellas Verona,Serie A,22260000.0,59,31250000.0,57,8990000.0,2014/2015,10257
920,Parma FC,Serie A,19740000.0,218,18700000.0,215,-1040000.0,2014/2015,10257
921,US Palermo,Serie A,19700000.0,41,18500000.0,41,-1200000.0,2014/2015,10257
922,US Sassuolo,Serie A,19300000.0,29,12600000.0,31,-6700000.0,2014/2015,10257
923,Inter Milan,Serie A,16950000.0,57,23600000.0,53,6650000.0,2014/2015,10257
924,AC Milan,Serie A,16900000.0,61,28200000.0,60,11300000.0,2014/2015,10257
925,SS Lazio,Serie A,12750000.0,33,150000.0,32,-12600000.0,2014/2015,10257
926,Atalanta BC,Serie A,11090000.0,49,20000000.0,54,8910000.0,2014/2015,10257
927,AC Cesena,Serie A,9850000.0,54,14650000.0,56,4800000.0,2014/2015,10257
928,ACF Fiorentina,Serie A,9100000.0,39,38000000.0,36,28900000.0,2014/2015,10257
929,Chievo Verona,Serie A,8600000.0,74,5040000.0,76,-3560000.0,2014/2015,10257
930,Genoa CFC,Serie A,7450000.0,57,25950000.0,60,18500000.0,2014/2015,10257
931,FC Empoli,Serie A,1410000.0,33,358000.0,34,-1050000.0,2014/2015,10257
952,SSC Napoli,Serie A,107450000.0,40,74200000.0,39,-33250000.0,2013/2014,10257
953,AS Roma,Serie A,75390000.0,44,120390000.0,48,45000000.0,2013/2014,10257
954,Inter Milan,Serie A,61640000.0,39,11000000.0,42,-50640000.0,2013/2014,10257
955,ACF Fiorentina,Serie A,53300000.0,31,41000000.0,32,-12300000.0,2013/2014,10257
956,Juventus FC,Serie A,49500000.0,42,69090000.0,46,19590000.0,2013/2014,10257
957,US Sassuolo,Serie A,46500000.0,36,5000000.0,29,-41500000.0,2013/2014,10257
958,AC Milan,Serie A,43130000.0,50,17400000.0,48,-25730000.0,2013/2014,10257
959,Udinese Calcio,Serie A,26860000.0,59,49700000.0,54,22840000.0,2013/2014,10257
960,SS Lazio,Serie A,26830000.0,27,28450000.0,26,1620000.0,2013/2014,10257
961,Genoa CFC,Serie A,23440000.0,66,30230000.0,65,6800000.0,2013/2014,10257
962,Torino FC,Serie A,20250000.0,27,21840000.0,27,1590000.0,2013/2014,10257
963,UC Sampdoria,Serie A,19600000.0,49,25450000.0,55,5850000.0,2013/2014,10257
964,Parma FC,Serie A,13680000.0,233,35470000.0,233,21790000.0,2013/2014,10257
965,Atalanta BC,Serie A,11330000.0,39,6200000.0,39,-5130000.0,2013/2014,10257
966,Calcio Catania,Serie A,8369999.999999999,41,11090000.0,40,2720000.0,2013/2014,10257
967,Hellas Verona,Serie A,8100000.0,49,9500000.0,48,1400000.0,2013/2014,10257
968,Bologna FC 1909,Serie A,6590000.0,44,18000000.0,47,11410000.0,2013/2014,10257
969,AS Livorno,Serie A,4820000.0,34,1800000.0,33,-3020000.0,2013/2014,10257
970,Chievo Verona,Serie A,3900000.0,61,5860000.0,65,1960000.0,2013/2014,10257
971,Cagliari Calcio,Serie A,1800000.0,20,7300000.0,19,5500000.0,2013/2014,10257
972,Inter Milan,Serie A,76550000.0,47,65800000.0,44,-10750000.0,2012/2013,10257
973,Juventus FC,Serie A,72800000.0,47,23300000.0,43,-49500000.0,2012/2013,10257
974,AC Milan,Serie A,59600000.0,44,88500000.0,53,28900000.0,2012/2013,10257
975,AS Roma,Serie A,44170000.0,46,21560000.0,45,-22600000.0,2012/2013,10257
976,ACF Fiorentina,Serie A,41670000.0,38,33400000.0,39,-8270000.0,2012/2013,10257
977,Udinese Calcio,Serie A,31400000.0,52,60950000.0,57,29550000.0,2012/2013,10257
978,SSC Napoli,Serie A,31050000.0,29,34850000.0,28,3800000.0,2012/2013,10257
979,Parma FC,Serie A,29950000.0,110,25250000.0,105,-4700000.0,2012/2013,10257
980,Genoa CFC,Serie A,26930000.0,74,79750000.0,72,52820000.0,2012/2013,10257
981,US Palermo,Serie A,26000000.0,43,25080000.0,44,-925000.0,2012/2013,10257
982,Torino FC,Serie A,24980000.0,29,4380000.0,32,-20600000.0,2012/2013,10257
983,UC Sampdoria,Serie A,21000000.0,48,6200000.0,47,-14800000.0,2012/2013,10257
984,Atalanta BC,Serie A,19350000.0,31,18450000.0,30,-900000.0,2012/2013,10257
985,Delfino Pescara 1936,Serie A,18980000.0,42,15500000.0,37,-3480000.0,2012/2013,10257
986,Chievo Verona,Serie A,11800000.0,54,13130000.0,54,1330000.0,2012/2013,10257
987,Cagliari Calcio,Serie A,11600000.0,22,2700000.0,23,-8900000.0,2012/2013,10257
988,AC Siena,Serie A,11420000.0,66,27560000.0,65,16129999.999999998,2012/2013,10257
989,Bologna FC 1909,Serie A,10290000.0,32,18050000.0,33,7760000.0,2012/2013,10257
990,Calcio Catania,Serie A,9030000.0,33,3280000.0,36,-5750000.0,2012/2013,10257
991,SS Lazio,Serie A,1530000.0,28,950000.0,28,-580000.0,2012/2013,10257
992,Genoa CFC,Serie A,80050000.0,62,62000000.0,66,-18050000.0,2010/2011,10257
993,Juventus FC,Serie A,59270000.0,46,36780000.0,42,-22500000.0,2010/2011,10257
994,AC Milan,Serie A,51900000.0,43,25930000.0,39,-25970000.0,2010/2011,10257
995,Inter Milan,Serie A,38140000.0,37,66530000.0,38,28390000.0,2010/2011,10257
996,US Palermo,Serie A,33210000.0,40,23850000.0,42,-9360000.0,2010/2011,10257
997,Parma FC,Serie A,30780000.0,54,18660000.0,52,-12120000.0,2010/2011,10257
998,SS Lazio,Serie A,29500000.0,19,27030000.0,22,-2470000.0,2010/2011,10257
999,UC Sampdoria,Serie A,25810000.0,37,27000000.0,36,1200000.0,2010/2011,10257
1000,ACF Fiorentina,Serie A,22820000.0,27,5750000.0,24,-17070000.0,2010/2011,10257
1001,Bologna FC 1909,Serie A,22360000.0,23,8199999.999999999,24,-14160000.0,2010/2011,10257
1002,SSC Napoli,Serie A,19800000.0,30,12900000.0,24,-6900000.0,2010/2011,10257
1003,Udinese Calcio,Serie A,15050000.0,56,30290000.0,59,15240000.0,2010/2011,10257
1004,AS Bari,Serie A,12250000.0,45,16500000.0,44,4250000.0,2010/2011,10257
1005,AS Roma,Serie A,11200000.0,30,10650000.0,28,-550000.0,2010/2011,10257
1006,Brescia Calcio,Serie A,8250000.0,25,7650000.0,24,-600000.0,2010/2011,10257
1007,Cagliari Calcio,Serie A,6900000.0,16,8960000.0,21,2060000.0,2010/2011,10257
1008,Chievo Verona,Serie A,6850000.0,50,1100000.0,51,-5750000.0,2010/2011,10257
1009,AC Cesena,Serie A,6570000.0,41,6350000.0,48,-215000.0,2010/2011,10257
1010,US Lecce,Serie A,4800000.0,30,1840000.0,34,-2960000.0,2010/2011,10257
1011,Calcio Catania,Serie A,4200000.0,23,19000000.0,29,14800000.0,2010/2011,10257
1012,Juventus FC,Serie A,101830000.0,45,20700000.0,50,-81130000.0,2011/2012,10257
1013,AS Roma,Serie A,91250000.0,34,26130000.0,32,-65120000.00000001,2011/2012,10257
1014,SSC Napoli,Serie A,72700000.0,35,23790000.0,40,-48910000.0,2011/2012,10257
1015,AC Milan,Serie A,65150000.00000001,48,22300000.0,43,-42850000.0,2011/2012,10257
1016,Genoa CFC,Serie A,53130000.0,70,81950000.0,71,28810000.0,2011/2012,10257
1017,US Palermo,Serie A,46030000.0,49,69650000.0,48,23630000.0,2011/2012,10257
1018,Inter Milan,Serie A,41700000.0,37,55950000.0,37,14250000.0,2011/2012,10257
1019,SS Lazio,Serie A,22840000.0,25,26380000.0,25,3540000.0,2011/2012,10257
1020,Udinese Calcio,Serie A,22410000.0,63,70630000.0,62,48220000.0,2011/2012,10257
1021,Bologna FC 1909,Serie A,20780000.0,27,21100000.0,24,318000.0,2011/2012,10257
1022,ACF Fiorentina,Serie A,20140000.0,36,20110000.0,35,-23000.0,2011/2012,10257
1023,Atalanta BC,Serie A,15000000.0,29,11900000.0,31,-3100000.0,2011/2012,10257
1024,AC Siena,Serie A,14330000.0,54,3430000.0,54,-10900000.0,2011/2012,10257
1025,Parma FC,Serie A,12360000.0,69,31500000.0,70,19150000.0,2011/2012,10257
1026,Chievo Verona,Serie A,11450000.0,60,13240000.0,56,1790000.0,2011/2012,10257
1027,AC Cesena,Serie A,10470000.0,55,12250000.0,54,1780000.0,2011/2012,10257
1028,Cagliari Calcio,Serie A,8199999.999999999,21,25700000.0,17,17500000.0,2011/2012,10257
1029,Novara Calcio 1908,Serie A,5650000.0,28,2140000.0,27,-3510000.0,2011/2012,10257
1030,Calcio Catania,Serie A,4139999.9999999995,24,13080000.0,25,8940000.0,2011/2012,10257
1031,US Lecce,Serie A,1400000.0,29,7570000.0,26,6170000.0,2011/2012,10257
